checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold10.pth,modeled_time_test,12.0,4,Heart,0.13216696679592133
fold10.pth,modeled_time_test,18.0,2,Heart,0.13364218175411224
fold10.pth,modeled_time_test,18.0,6,Heart,0.14282912015914917
fold10.pth,modeled_time_test,24.0,3,Heart,0.125
fold10.pth,modeled_time_test,24.0,6,Heart,0.125
fold10.pth,unseen_time_test,0.33333,1,Heart,0.13759829103946686
fold10.pth,unseen_time_test,0.33333,2,Heart,0.131902813911438
fold10.pth,unseen_time_test,4.0,1,Heart,0.134031280875206
fold10.pth,unseen_time_test,4.0,2,Heart,0.12750841677188873
fold10.pth,unseen_time_test,11.0,1,Heart,0.12685656547546387
fold10.pth,unseen_time_test,11.0,2,Heart,0.14231249690055847
fold10.pth,unseen_time_test,20.0,1,Heart,0.13774444162845612
fold10.pth,unseen_time_test,20.0,2,Heart,0.1250000149011612
fold2.pth,modeled_time_test,0.5,2,Heart,0.12500342726707458
fold2.pth,modeled_time_test,0.5,3,Heart,0.125
fold2.pth,modeled_time_test,1.0,4,Heart,0.1250050812959671
fold2.pth,modeled_time_test,1.0,8,Heart,0.12505200505256653
fold2.pth,modeled_time_test,2.0,7,Heart,0.12558436393737793
fold2.pth,modeled_time_test,2.0,8,Heart,0.12519432604312897
fold2.pth,modeled_time_test,3.0,1,Heart,0.1250000298023224
fold2.pth,modeled_time_test,3.0,8,Heart,0.1250060647726059
fold2.pth,modeled_time_test,6.0,1,Heart,0.12650419771671295
fold2.pth,modeled_time_test,6.0,10,Heart,0.12500016391277313
fold2.pth,modeled_time_test,12.0,3,Heart,0.12611275911331177
fold2.pth,modeled_time_test,12.0,4,Heart,0.1262725442647934
fold2.pth,modeled_time_test,18.0,2,Heart,0.12500101327896118
fold2.pth,modeled_time_test,18.0,6,Heart,0.12643945217132568
fold2.pth,modeled_time_test,24.0,3,Heart,0.125
fold2.pth,modeled_time_test,24.0,6,Heart,0.125
fold2.pth,unseen_time_test,0.33333,1,Heart,0.12502436339855194
fold2.pth,unseen_time_test,0.33333,2,Heart,0.1250072419643402
fold2.pth,unseen_time_test,4.0,1,Heart,0.12527510523796082
fold2.pth,unseen_time_test,4.0,2,Heart,0.12500080466270447
fold2.pth,unseen_time_test,11.0,1,Heart,0.1250000149011612
fold2.pth,unseen_time_test,11.0,2,Heart,0.12980355322360992
fold2.pth,unseen_time_test,20.0,1,Heart,0.12500299513339996
fold2.pth,unseen_time_test,20.0,2,Heart,0.125
fold3.pth,modeled_time_test,0.5,2,Heart,0.14281292259693146
fold3.pth,modeled_time_test,0.5,3,Heart,0.14248311519622803
fold3.pth,modeled_time_test,1.0,4,Heart,0.14270584285259247
